target_address,target_exgraph_node_id,volume_usd,log_volume_usd,asof_mm_undir_degree,asof_mm_pagerank,in_mm_subgraph,ig_y_active30_histgbm,ig_y_active30_logistic,ig_y_cp_ge10_histgbm,ig_y_cp_ge10_logistic,degree,w_degree,pagerank,icf_v1_score,icf_v1_rank,icf_v2_score,ig_resid_logvol
0x8edab863c5c7ecca66aa6d09b1f1dc81f1875fb0,689984,4418.688035,8.393824392264094,,,,0.0200146915309614,0.088391860314762,-3.5218789274364743,-1.8892514134007787,25,26,3.98924199e-07,,,,-3.9974706836596967
0x6ddefd4f09b2dafe21369bcb9d619e17c5dbc544,1210938,3510.572533,8.163819231230827,2.0,5.703443631662045e-05,True,1.4113011848876114,-0.0698384528856794,0.1090726295868567,-0.1390751276865309,3,3,2.819837652e-07,6.6885,2976.0,6.683178349822499,-0.3588815339160616
0xb489e38850b0d03a5aec4c32e4bbfb636ed9f852,328954,167.739036,5.128353355790026,1.0,4.258306594621123e-05,True,-0.1580742872616974,-0.0666445323627274,-0.0022916580726307,0.0320087551276474,33,35,9.492558178e-07,21.4738,1501.0,20.890788747931605,-0.3694495960958723
0x2d18c70729899c06f1010e083917a5410b8c65f6,70531,11.703632,2.541887936830813,1.0,3.439026505963543e-05,True,-0.0479222292385135,-0.1075626980729441,-1.1835263330993064,-0.3688073343384805,118,155,1.531265368e-06,,,,-1.4647976355078616
0xbbaddbbc19ce2ba8bd2186c9959f1652c0c10733,66859,3717.023114,8.220947385045282,,,,2.309792403103538,0.7973011547079933,0.5466279683285759,0.3453155404423631,38,41,6.839479961e-07,,,,0.07677679708140706
0xd2d9e07ce9a438900ada49ce045067804ce41ce6,281887,209.19766,5.348048326125892,,,,-0.9867889521921828,-0.982267086366168,0.5578022602775218,0.4210203681604041,10,11,8.705662185e-07,,,,0.18334909157951296
0x2fcb5428604865c264c118e4ba09244d548d20f5,99537,8666.28808,9.067311227303538,1.0,3.81585434270367e-05,True,0.0254456127014348,0.0636375919781709,-0.6494872895854172,-0.4107135354742649,12,20,9.30290658e-07,3.7862,3575.0,3.422587641615552,-1.147442970711064
0x82410609593d876761681580cf304c794bd58d09,10889,923.55,6.829307132652995,,,,0.0200146915309614,0.0926598181529235,0.7217254745001618,0.9841658625735124,14,185,7.678666994e-07,,,,0.29808535961888183
0x3b9f34ae5046b9f5fe45988ef07a3c49959dc130,750524,6124.778633,8.72026115108849,1.0,4.055253858375161e-05,True,-0.0388829793031991,-0.0776999268307532,0.3183257072733703,-0.0105684976543292,10,12,1.028618678e-06,,,,-0.16810576663982313
0xb4646bccaa0424ef9294fd6ae94a21b329a41ea5,46380,3201.119837,8.071568318527792,,,,-0.173542416382677,-0.093584511545896,0.219317612679852,0.2341834100374507,73,77,2.100731488e-06,,,,-0.24557325043390582
