target_address,target_exgraph_node_id,target_is_x_matched,in_structural_support,in_ig_support,persona_full_asof_kmeans,persona_trajectory_kmeans,community_id,community_size,is_boundary,I_behavior,I_network,I_network_novol,I_predictive,I_predictive_new,I_information,I_information_active,I_temporal,score_recency,cp_new_rate_30d,active_span_days_90d,deg_und,wdeg_und,pagerank,kcore,betweenness,bridge_score,evt_cnt_90d,rank_B_act,rank_B_new,rank_C_struct,rank_C_novol,rank_A_vol,rank_A_beh,rank_D_ig_cp,rank_D_ig_act,rank_hybrid_pred_vol,rank_temporal,rank_random,top100_B_act,top100_C_struct,top100_D_ig_cp,top100_A_vol,votes_BCA_top100,votes_BCDA_top100,top1000_B_act,top1000_C_struct,top1000_D_ig_cp,top1000_A_vol,votes_BCA_top1000,votes_BCDA_top1000,lbl_evt,lbl_cp,lbl_new
0xcda72070e455bb31c7690a170224ce43623d0b6f,3778,1,1,0,5,1,1.0,2085.0,False,0.9319470878335843,0.9980451507125742,1.0,6.349082868262564,5.32589611050243,,,0.9080898311747112,90.0,1.2487089201877934,89,2535.0,66722.0,0.176975995630418,5.0,0.4062675422248805,245.79186304605275,241523,1,5,1.0,1.0,1,118,,,1,139,713,1.0,1.0,,1.0,3.0,3.0,1.0,1.0,,1.0,3.0,3.0,14179,10482,1355
0xab906639403b15510a8d5e0318a590da66465268,51296,1,1,0,5,1,0.0,2450.0,False,0.9435359565569302,0.9886807920292596,0.9952074662630848,6.217517196744488,5.38535218916901,,,0.8403958948105402,90.0,0.7406559877955758,89,28.0,102.0,0.0006910178579392,5.0,0.0108833855915948,0.1088338559159489,5315,2,2,26.0,22.0,10,52,,,3,809,17428,1.0,1.0,,1.0,3.0,3.0,1.0,1.0,,1.0,3.0,3.0,627,593,403
0xc2978441f46a76c60e0cd59e986498b75a40572d,13971,1,1,1,5,1,0.0,2450.0,False,0.93618137398424,0.9852125110354396,0.9975616933619204,6.217517196744488,5.38535218916901,0.7221416367378726,0.00859074478244,0.778700899809658,90.0,0.48870967741935484,89,46.0,100.0,0.0007609470295049,5.0,0.0326811264294696,0.4248546435831054,4779,3,3,40.0,14.0,13,88,709.0,1682.0,5,2264,18453,1.0,1.0,0.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,4.0,658,628,399
0x6527c94b30060a463159b291160651292c1b7855,99548,1,1,0,5,1,0.0,2450.0,False,0.9485913471244005,0.9866628830874008,0.996048261655526,6.175663274003305,5.38535218916901,,,0.8556285008212442,90.0,0.8273972602739726,89,40.0,96.0,0.000741257472336,5.0,0.0147978451738388,0.1331806065645498,4542,4,1,32.0,20.0,17,25,,,8,592,3016,1.0,1.0,,1.0,3.0,3.0,1.0,1.0,,1.0,3.0,3.0,1103,942,566
0x9ab17bdaa2ab4a70aedd11a2a2641a14d5b23ddb,46450,1,1,0,5,1,26.0,12.0,False,0.946557373449743,0.9952074662630848,0.994660949257998,6.155341924555756,5.299633303089252,,,0.9012871100862757,90.0,1.1266968325791855,89,22.0,774.0,0.0010576514451459,5.0,0.0062022339296575,0.1116402107338353,3407,5,6,10.0,26.0,37,34,,,15,200,11112,1.0,1.0,,1.0,3.0,3.0,1.0,1.0,,1.0,3.0,3.0,416,388,225
0x616ed054e0e0fdbfcad3fa2f42daed3d7d4ee448,3266,1,1,0,5,1,0.0,2450.0,False,0.9464300413361942,0.9944087106402656,0.9989490057594484,6.1530639098838895,5.260872010718189,,,0.7953646258187935,90.0,0.5363391655450875,89,64.0,190.0,0.0012506911680169,5.0,0.0353859000276253,0.3538590002762531,6925,6,7,11.0,4.0,7,36,,,4,1797,2815,1.0,1.0,,1.0,3.0,3.0,1.0,1.0,,1.0,3.0,3.0,776,744,449
0xc3503192343eae4b435e4a1211c5d28bf6f6a696,4775,1,1,0,5,1,2.0,528.0,False,0.9177836875500958,0.984939252532896,0.9915079665363432,6.148286955689326,4.778033115038579,,,0.8019516986882872,90.0,0.5678336980306345,89,59.0,1208.0,0.0047732290336439,4.0,0.0058783709370342,0.0293918546851711,12359,7,28,41.0,46.0,3,246,,,2,1618,13583,1.0,1.0,,1.0,3.0,3.0,1.0,1.0,,1.0,3.0,3.0,742,439,133
0xb7af436ed99654fae6c6faa6c627ba598d3a2bce,46784,1,1,0,5,1,0.0,2450.0,False,0.9432308255302044,0.995659393786522,0.9989490057594484,6.146727096817094,5.156507972873806,,,0.8043434334801867,90.0,0.5758969641214351,89,52.0,244.0,0.0014966779716865,5.0,0.0255364879751925,0.383047319627888,4585,8,9,6.0,5.0,15,54,,,9,1567,2588,1.0,1.0,,1.0,3.0,3.0,1.0,1.0,,1.0,3.0,3.0,668,637,333
0xc4c6c27b2259794a1dd35d438e703281c0e4a004,36895,1,1,0,5,1,0.0,2450.0,False,0.9558511419455236,0.9943876907554547,0.999369403455669,6.137782501035324,5.130611043380514,,,0.8190663255188465,90.0,0.6414814814814814,89,73.0,184.0,0.0012510225069095,5.0,0.043638110838291,1.0036765492806938,4642,9,12,12.0,3.0,14,6,,,10,1236,12754,1.0,1.0,,1.0,3.0,3.0,1.0,1.0,,1.0,3.0,3.0,922,826,435
0xb585b60de71e48032e8c19b90896984afc6a660d,242322,1,1,0,5,1,0.0,2450.0,False,0.9374847649597177,0.9912347080338,0.998024130827763,6.132088321318891,5.260872010718189,,,0.7802517834412798,90.0,0.5833973866256725,88,54.0,124.0,0.0008790042624048,5.0,0.032216045734008,0.4188085945421052,6843,10,8,19.0,10.0,8,81,,,6,2217,5664,1.0,1.0,,1.0,3.0,3.0,1.0,1.0,,1.0,3.0,3.0,632,601,271
